   1.160000      0.9978778      0.6857002     -0.7563924    
   1.170000      0.9979589      0.6846278     -0.7592107    
   1.180000      0.9980333      0.6836385     -0.7617436    
   1.190000      0.9981082      0.6826345     -0.7643787    
   1.200000      0.9981617      0.6815248     -0.7661106    
   1.210000      0.9982143      0.6804007     -0.7679151    
   1.220000      0.9982647      0.6792722     -0.7697172    
   1.230000      0.9983172      0.6781207     -0.7717755    
   1.240000      0.9983634      0.6769761     -0.7735210    
   1.250000      0.9984097      0.6758207     -0.7753469    
   1.260000      0.9984566      0.6747681     -0.7771735    
   1.270000      0.9985005      0.6737069     -0.7789111    
   1.280000      0.9985468      0.6726229     -0.7808481    
   1.290000      0.9985816      0.6713822     -0.7823941    
   1.300000      0.9986122      0.6701000     -0.7837553    
   1.310000      0.9986397      0.6688214     -0.7849433    
   1.320000      0.9986694      0.6676130     -0.7862339    
   1.330000      0.9986895      0.6665379     -0.7865360    
   1.340000      0.9987212      0.6654166     -0.7879137    
   1.350000      0.9987549      0.6642768     -0.7895998    
   1.360000      0.9987689      0.6631851     -0.7896122    
   1.370000      0.9987965      0.6620352     -0.7908624    
   1.380000      0.9988158      0.6607255     -0.7917692    
   1.390000      0.9988343      0.6594324     -0.7925917    
   1.400000      0.9988593      0.6582592     -0.7938058    
   1.410000      0.9988756      0.6571079     -0.7943680    
   1.420000      0.9988968      0.6559265     -0.7953320    
   1.430000      0.9989155      0.6547214     -0.7961918    
   1.440000      0.9989283      0.6533936     -0.7967370    
   1.450000      0.9989398      0.6520754     -0.7972136    
   1.460000      0.9989532      0.6508776     -0.7977492    
   1.470000      0.9989673      0.6496682     -0.7983325    
   1.480000      0.9989771      0.6483341     -0.7987270    
   1.490000      0.9989852      0.6469923     -0.7990388    
   1.500000      0.9989965      0.6457316     -0.7994913    
   1.510000      0.9989992      0.6445233     -0.7991222    
   1.520000      0.9990102      0.6432788     -0.7995960    
   1.530000      0.9990041      0.6420842     -0.7984331    
   1.540000      0.9990234      0.6407948     -0.7998748    
   1.550000      0.9990221      0.6395653     -0.7992084    
   1.560000      0.9990317      0.6382923     -0.7997328    
   1.570000      0.9990344      0.6370356     -0.7996046    
   1.580000      0.9990387      0.6357661     -0.7996264    
   1.590000      0.9990393      0.6345013     -0.7992898    
   1.600000      0.9990413      0.6332232     -0.7991687    
   1.610000      0.9990444      0.6319348     -0.7991624    
   1.620000      0.9990378      0.6306760     -0.7982557    
   1.630000      0.9990406      0.6293741     -0.7982778    
   1.640000      0.9990407      0.6280714     -0.7980641    
   1.650000      0.9990371      0.6266918     -0.7976245    
